city,city_latitude,city_longitude,forecast_28-09-2021,forecast_29-09-2021,forecast_30-09-2021,forecast_01-10-2021,forecast_02-10-2021,forecast_03-10-2021,forecast_04-10-2021,mean_tmax,mean_tmin,mean_proba_rain,mean_proba_wind_more_70,is_good_weather
Avignon,43.9352,4.8407,"{'t_max': 26, 't_min': 17, 'proba_rain': 10, 'proba_wind_more_70': 0}","{'t_max': 24, 't_min': 15, 'proba_rain': 10, 'proba_wind_more_70': 10}","{'t_max': 23, 't_min': 12, 'proba_rain': 0, 'proba_wind_more_70': 10}","{'t_max': 25, 't_min': 15, 'proba_rain': 20, 'proba_wind_more_70': 0}","{'t_max': 24, 't_min': 15, 'proba_rain': 50, 'proba_wind_more_70': 0}","{'t_max': 25, 't_min': 15, 'proba_rain': 60, 'proba_wind_more_70': 0}","{'t_max': 26, 't_min': 15, 'proba_rain': 60, 'proba_wind_more_70': 10}",24.714285714285715,14.857142857142858,30.0,4.285714285714286,True
Uzès,44.0137,4.416,"{'t_max': 25, 't_min': 16, 'proba_rain': 10, 'proba_wind_more_70': 0}","{'t_max': 24, 't_min': 13, 'proba_rain': 30, 'proba_wind_more_70': 10}","{'t_max': 22, 't_min': 10, 'proba_rain': 0, 'proba_wind_more_70': 10}","{'t_max': 25, 't_min': 11, 'proba_rain': 20, 'proba_wind_more_70': 0}","{'t_max': 25, 't_min': 12, 'proba_rain': 50, 'proba_wind_more_70': 0}","{'t_max': 25, 't_min': 12, 'proba_rain': 60, 'proba_wind_more_70': 10}","{'t_max': 25, 't_min': 13, 'proba_rain': 60, 'proba_wind_more_70': 0}",24.428571428571427,12.428571428571429,32.857142857142854,4.285714285714286,True
Nîmes,43.8449,4.3481,"{'t_max': 26, 't_min': 17, 'proba_rain': 10, 'proba_wind_more_70': 0}","{'t_max': 25, 't_min': 15, 'proba_rain': 30, 'proba_wind_more_70': 10}","{'t_max': 24, 't_min': 12, 'proba_rain': 0, 'proba_wind_more_70': 10}","{'t_max': 24, 't_min': 13, 'proba_rain': 20, 'proba_wind_more_70': 0}","{'t_max': 24, 't_min': 14, 'proba_rain': 50, 'proba_wind_more_70': 0}","{'t_max': 24, 't_min': 14, 'proba_rain': 60, 'proba_wind_more_70': 10}","{'t_max': 24, 't_min': 14, 'proba_rain': 60, 'proba_wind_more_70': 10}",24.428571428571427,14.142857142857142,32.857142857142854,5.714285714285714,False
Aigues-Mortes,43.5507,4.1835,"{'t_max': 25, 't_min': 18, 'proba_rain': 10, 'proba_wind_more_70': 0}","{'t_max': 25, 't_min': 17, 'proba_rain': 30, 'proba_wind_more_70': 10}","{'t_max': 24, 't_min': 14, 'proba_rain': 0, 'proba_wind_more_70': 0}","{'t_max': 23, 't_min': 15, 'proba_rain': 20, 'proba_wind_more_70': 0}","{'t_max': 23, 't_min': 16, 'proba_rain': 50, 'proba_wind_more_70': 0}","{'t_max': 23, 't_min': 16, 'proba_rain': 60, 'proba_wind_more_70': 10}","{'t_max': 23, 't_min': 16, 'proba_rain': 60, 'proba_wind_more_70': 10}",23.714285714285715,16.0,32.857142857142854,4.285714285714286,True
Saintes-Maries-de-la-Mer,43.4829,4.3898,"{'t_max': 25, 't_min': 16, 'proba_rain': 10, 'proba_wind_more_70': 0}","{'t_max': 25, 't_min': 16, 'proba_rain': 20, 'proba_wind_more_70': 10}","{'t_max': 24, 't_min': 14, 'proba_rain': 0, 'proba_wind_more_70': 10}","{'t_max': 23, 't_min': 15, 'proba_rain': 20, 'proba_wind_more_70': 10}","{'t_max': 22, 't_min': 16, 'proba_rain': 50, 'proba_wind_more_70': 0}","{'t_max': 22, 't_min': 16, 'proba_rain': 60, 'proba_wind_more_70': 10}","{'t_max': 23, 't_min': 16, 'proba_rain': 60, 'proba_wind_more_70': 10}",23.428571428571427,15.571428571428571,31.428571428571427,7.142857142857143,False
Collioure,42.513,3.0725,"{'t_max': 21, 't_min': 18, 'proba_rain': 10, 'proba_wind_more_70': 0}","{'t_max': 23, 't_min': 16, 'proba_rain': 40, 'proba_wind_more_70': 10}","{'t_max': 24, 't_min': 14, 'proba_rain': 10, 'proba_wind_more_70': 10}","{'t_max': 24, 't_min': 15, 'proba_rain': 40, 'proba_wind_more_70': 0}","{'t_max': 23, 't_min': 16, 'proba_rain': 50, 'proba_wind_more_70': 0}","{'t_max': 25, 't_min': 15, 'proba_rain': 50, 'proba_wind_more_70': 10}","{'t_max': 26, 't_min': 16, 'proba_rain': 60, 'proba_wind_more_70': 10}",23.714285714285715,15.714285714285714,37.142857142857146,5.714285714285714,False
Carcassonne,43.2094,2.344,"{'t_max': 25, 't_min': 16, 'proba_rain': 30, 'proba_wind_more_70': 0}","{'t_max': 21, 't_min': 13, 'proba_rain': 50, 'proba_wind_more_70': 10}","{'t_max': 22, 't_min': 11, 'proba_rain': 10, 'proba_wind_more_70': 0}","{'t_max': 25, 't_min': 12, 'proba_rain': 40, 'proba_wind_more_70': 0}","{'t_max': 25, 't_min': 12, 'proba_rain': 50, 'proba_wind_more_70': 0}","{'t_max': 26, 't_min': 12, 'proba_rain': 60, 'proba_wind_more_70': 0}","{'t_max': 26, 't_min': 13, 'proba_rain': 60, 'proba_wind_more_70': 10}",24.285714285714285,12.714285714285714,42.857142857142854,2.857142857142857,True
Toulouse,43.5964,1.4317,"{'t_max': 22, 't_min': 16, 'proba_rain': 30, 'proba_wind_more_70': 0}","{'t_max': 22, 't_min': 12, 'proba_rain': 50, 'proba_wind_more_70': 0}","{'t_max': 21, 't_min': 10, 'proba_rain': 10, 'proba_wind_more_70': 0}","{'t_max': 25, 't_min': 11, 'proba_rain': 50, 'proba_wind_more_70': 0}","{'t_max': 24, 't_min': 11, 'proba_rain': 60, 'proba_wind_more_70': 0}","{'t_max': 25, 't_min': 12, 'proba_rain': 60, 'proba_wind_more_70': 10}","{'t_max': 25, 't_min': 13, 'proba_rain': 60, 'proba_wind_more_70': 10}",23.428571428571427,12.142857142857142,45.714285714285715,2.857142857142857,True
Montauban,44.0223,1.3641,"{'t_max': 21, 't_min': 12, 'proba_rain': 30, 'proba_wind_more_70': 0}","{'t_max': 21, 't_min': 10, 'proba_rain': 50, 'proba_wind_more_70': 0}","{'t_max': 20, 't_min': 9, 'proba_rain': 0, 'proba_wind_more_70': 0}","{'t_max': 25, 't_min': 10, 'proba_rain': 50, 'proba_wind_more_70': 0}","{'t_max': 23, 't_min': 11, 'proba_rain': 60, 'proba_wind_more_70': 0}","{'t_max': 24, 't_min': 12, 'proba_rain': 60, 'proba_wind_more_70': 0}","{'t_max': 24, 't_min': 13, 'proba_rain': 60, 'proba_wind_more_70': 0}",22.571428571428573,11.0,44.285714285714285,0.0,True
Biarritz,43.4696,-1.5531,"{'t_max': 19, 't_min': 14, 'proba_rain': 50, 'proba_wind_more_70': 0}","{'t_max': 20, 't_min': 14, 'proba_rain': 50, 'proba_wind_more_70': 0}","{'t_max': 18, 't_min': 11, 'proba_rain': 0, 'proba_wind_more_70': 0}","{'t_max': 23, 't_min': 12, 'proba_rain': 50, 'proba_wind_more_70': 0}","{'t_max': 23, 't_min': 13, 'proba_rain': 60, 'proba_wind_more_70': 0}","{'t_max': 24, 't_min': 13, 'proba_rain': 60, 'proba_wind_more_70': 0}","{'t_max': 24, 't_min': 14, 'proba_rain': 60, 'proba_wind_more_70': 0}",21.571428571428573,13.0,47.142857142857146,0.0,True
Bayonne,43.4922,-1.4661,"{'t_max': 19, 't_min': 12, 'proba_rain': 50, 'proba_wind_more_70': 0}","{'t_max': 20, 't_min': 14, 'proba_rain': 50, 'proba_wind_more_70': 0}","{'t_max': 19, 't_min': 11, 'proba_rain': 0, 'proba_wind_more_70': 0}","{'t_max': 23, 't_min': 12, 'proba_rain': 50, 'proba_wind_more_70': 0}","{'t_max': 23, 't_min': 12, 'proba_rain': 60, 'proba_wind_more_70': 0}","{'t_max': 24, 't_min': 13, 'proba_rain': 60, 'proba_wind_more_70': 0}","{'t_max': 24, 't_min': 14, 'proba_rain': 60, 'proba_wind_more_70': 0}",21.714285714285715,12.571428571428571,47.142857142857146,0.0,True
La Rochelle,46.1621,-1.1747,"{'t_max': 19, 't_min': 14, 'proba_rain': 30, 'proba_wind_more_70': 0}","{'t_max': 18, 't_min': 13, 'proba_rain': 70, 'proba_wind_more_70': 10}","{'t_max': 17, 't_min': 11, 'proba_rain': 0, 'proba_wind_more_70': 0}","{'t_max': 20, 't_min': 13, 'proba_rain': 60, 'proba_wind_more_70': 0}","{'t_max': 20, 't_min': 13, 'proba_rain': 60, 'proba_wind_more_70': 0}","{'t_max': 22, 't_min': 14, 'proba_rain': 60, 'proba_wind_more_70': 10}","{'t_max': 22, 't_min': 14, 'proba_rain': 60, 'proba_wind_more_70': 10}",19.714285714285715,13.142857142857142,48.57142857142857,4.285714285714286,True
Chateau du haut koenigsbourg,48.2472,7.3547,"{'t_max': 17, 't_min': 9, 'proba_rain': 70, 'proba_wind_more_70': 0}","{'t_max': 20, 't_min': 7, 'proba_rain': 60, 'proba_wind_more_70': 0}","{'t_max': 17, 't_min': 6, 'proba_rain': 0, 'proba_wind_more_70': 0}","{'t_max': 22, 't_min': 8, 'proba_rain': 60, 'proba_wind_more_70': 0}","{'t_max': 19, 't_min': 9, 'proba_rain': 60, 'proba_wind_more_70': 0}","{'t_max': 20, 't_min': 8, 'proba_rain': 60, 'proba_wind_more_70': 0}","{'t_max': 18, 't_min': 9, 'proba_rain': 60, 'proba_wind_more_70': 10}",19.0,8.0,52.857142857142854,1.4285714285714286,False
